"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
31458,"2024-07-02","2024OP004180",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004180","2024NS016839","2024-07-03","2024-07-03",57660
29662,"2024-07-02","2024OP002384",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB002384","2024NS015043","2024-07-02","2024-07-03",58304
30326,"2024-07-02","2024OP003048",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003048","2024NS015707","2024-07-02","2024-07-03",59137
35896,"2024-12-12","2024OP009367",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009375","2024NS034956","2024-12-12","2024-12-12",60431
37296,"2024-12-12","2024OP010767",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010787","2024NS036361","2024-12-12","2024-12-12",59584
29602,"2024-07-02","2024OP002324",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB002330","2024NS014983","2024-07-02","2024-07-02",56332
34979,"2024-12-12","2024OP008450",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB008452","2024NS034039","2024-12-12","2024-12-12",60484
29603,"2024-07-02","2024OP002325",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB002326","2024NS014984","2024-07-02","2024-07-02",56331
32577,"2024-07-02","2024OP005299",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005298","2024NS017958","2024-07-03","2024-07-03",53077
38777,"2024-12-12","2024OP012248",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011297","2024NS037842","2024-12-12","2024-12-12",54089
28107,"2024-07-03","2024OP005956",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005955","2024NS019036","2024-07-03","2024-07-03",53123
32581,"2024-07-02","2024OP005303",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005302","2024NS017962","2024-07-03","2024-07-03",54097
33040,"2024-12-12","2024OP006511",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006513","2024NS032100","2024-12-12","2024-12-12",53160
31801,"2024-07-02","2024OP004523",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004555","2024NS017182","2024-07-03","2024-07-03",59374
38784,"2024-12-12","2024OP012255",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011288","2024NS037849","2024-12-12","2024-12-12",54088
38788,"2024-12-12","2024OP012259",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011330","2024NS037853","2024-12-12","2024-12-12",54107
38787,"2024-12-12","2024OP012258",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011326","2024NS037852","2024-12-12","2024-12-12",54102
38790,"2024-12-12","2024OP012261",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011316","2024NS037855","2024-12-12","2024-12-12",54101
38786,"2024-12-12","2024OP012257",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011318","2024NS037851","2024-12-12","2024-12-12",57776
38793,"2024-12-12","2024OP012264",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011320","2024NS037858","2024-12-12","2024-12-12",54103
33031,"2024-12-12","2024OP006502",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006508","2024NS032091","2024-12-12","2024-12-12",54104
35860,"2024-12-12","2024OP009331",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009337","2024NS034920","2024-12-12","2024-12-12",57184
38782,"2024-12-12","2024OP012253",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011290","2024NS037847","2024-12-12","2024-12-12",56770
32584,"2024-07-02","2024OP005306",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005305","2024NS017965","2024-07-03","2024-07-03",54093
