id_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
44569,108365,2,"Aquisição de Café em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,255,4590,0,0,0,0,0,0,0,4
44569,103817,2,Aquisição de  material de expediente diversos para suprir as necessidades do Centro de Referência de Assistência Social - CRAS.,UN,300,60000,0,0,0,0,0,0,0,4
44569,108366,2,"Aquisição de Canela em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,12,63,0,0,0,0,0,0,0,4
44569,108367,2,"Aquisição de Coco Ralado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,262,2292.5,0,0,0,0,0,0,0,4
44569,108368,3,"Aquisição de Colorau para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,31,77.5,0,0,0,0,0,0,0,4
44569,108369,4,"Aquisição de Creme de Leite para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,556,1890.4,0,0,0,0,0,0,0,4
44569,108370,5,"Aquisição de Extrato de Toma 340g  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,319,957,0,0,0,0,0,0,0,4
44569,108371,6,"Aquisição de Farinha de Tapioca pacote de um KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,422,5232.8,0,0,0,0,0,0,0,4
44569,108372,7,"Aquisição de Farinha de Mandioca pacote de 1 KG  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,391,2346,0,0,0,0,0,0,0,4
44569,108392,8,"Aquisição de Peixe Enlatado (Sardinha) para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,826,3551.8,0,0,0,0,0,0,0,4
44569,108394,8,"Aquisição de Suco Concentrado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,12,78,0,0,0,0,0,0,0,4
44569,108396,8,"Aquisição de Amido de Milho para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,118,413,0,0,0,0,0,0,0,4
44569,108397,8,"Aquisição de Açafrão em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,28,112,0,0,0,0,0,0,0,4
44569,108393,8,"Aquisição de Seleta de Legumes para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,304,1216,0,0,0,0,0,0,0,4
44569,108373,8,"Aquisição de Fermento em Pó Químico 100g para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,14,56,0,0,0,0,0,0,0,4
44569,108395,8,"Aquisição de Vinagre de Álcool para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,148,384.8,0,0,0,0,0,0,0,4
44569,108390,9,"Aquisição de Farinha de Trigo para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,52,280.8,0,0,0,0,0,0,0,4
44569,108386,9,"Aquisição de Óleo de Soja Vegetal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,81,615.6,0,0,0,0,0,0,0,4
44569,108388,9,"Aquisição de Pão de Cachorro Quente e/ou Francês para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,751,375.5,0,0,0,0,0,0,0,4
44569,108389,9,"Aquisição de Proteína de Soja para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,114,655.5,0,0,0,0,0,0,0,4
44569,108374,9,"Aquisição de Feijão Preto - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,90,576,0,0,0,0,0,0,0,4
44569,108391,9,"Aquisição de Sal Refinado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,28,36.4,0,0,0,0,0,0,0,4
44569,108380,10,"Aquisição de Macarrão - Tipo Espaguete  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,230,759,0,0,0,0,0,0,0,4
44569,108384,10,"Aquisição de Milho Branco para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,201,864.3,0,0,0,0,0,0,0,4
44569,108382,10,"Aquisição de Manteiga sem Sal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,52,624,0,0,0,0,0,0,0,4
44569,108383,10,"Aquisição de Milharina para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,281,730.6,0,0,0,0,0,0,0,4
44569,108375,10,"Aquisição de Feijão Carioquinha - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,88,616,0,0,0,0,0,0,0,4
44569,108376,10,"Aquisição de Feijão Rajado - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,117,936,0,0,0,0,0,0,0,4
44569,108377,10,"Aquisição de Leite de Coco para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,509,1781.5,0,0,0,0,0,0,0,4
