CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,nome_executor,objeto_executor,data
76761-38428-41178,Enviado para Análise,26.782.0004.1-022 Pavimentação/Recuperação de Estradas Vicinais; 4.4.90.51.00.00 Obras e Instalações,MUNICIPIO DE CARIDADE DO PIAUI,"RECUPERAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE CARIDADE DO PIAUI - PI.

TRECHO 1:  SEDE À LOC. CAIÇARA 1.0
 A) EXTENSÃO DO TRECHO: 17.690,00 m
 B) LARGURA DA PLATAFORMA DE ROLAMENTO: 6,00 m","""1"": ADMINISTRAÇÃO LOCAL DA OBRA - (1 UN); ""2"": AQUISIÇÃO E ASSENTAMENTO DE PLACA DE OBRA 4,80 x 2,40 m - 1,00 UND. - (12 M2); ""3"": MOBILIZAÇÃO DE EQUIPAMENTOS - (1 UN); ""4"": DESMOBILIZAÇÃO DE EQUIPAMENTOS - (1 UN); ""5"": ALUGUEL DE CONTAINERS PARA CANTEIRO DE OBRAS (ESCRITÓRIO/SANITÁRIO) - (2 MES); ""6"": RECUPERAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE CARIDADE DO PIAUÍ - PI. TRECHO 1: SEDE À LOC. CAIÇARA A) EXTENSÃO DO TRECHO: 17.690,00 m B) LARGURA DA PLATAFORMA DE ROLAMENTO: 6,00 m - (18 KM)"
76784-34763-37530,Enviado para Análise,"ORGÃO - 03 SECRETARIA MUNICIPAL DE INFRAESTRUTURA, SERVIÇOS PÚBLICOS E DESENVOLVIMENTO URBANO
UNIDADE - 00 SECRETARIA MUNICIPAL DE INFRAESTRUTURA, SERVIÇOS PÚBLICOS E DESENVOLVIMENTO URBANO
ADEQUAÇÃO DE ESTRADAS VICINAIS - 15.451.0008.1023.0000
OBRAS E INSTALAÇÕES - 4.4.90.51.00",MUNICIPIO DE CURRALINHOS,ADEQUAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE CURRALINHOS - PI,"""1"": ADEQUAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE CURRALINHOS - PI - (25 KM)"
76764-37138-39857,APROVADO,"ÓRGÃO: 02 PREFEITURA MUNICIPAL;
UNIDADE ORÇAMENTÁRIA: 16 SECRETÁRIA MUNICIPAL DE ESPORTE E LAZER;
FUNÇÃO: 27;
SUBFUNÇÃO: 392; 
PROGRAMA/AÇÃO: 0010;
PROJETO/ATIVIDADE: 2061.",MUNICIPIO DE PEDRO LAURENTINO,"Construção, Reforma Ou Ampliação De Espaços De Esporte E Lazer","""1"": Projeto de Engenharia para Construção, Reforma Ou Ampliação De Espaços De Esporte E Lazer - (1 UN); ""2"": Construção, Reforma Ou Ampliação De Espaços De Esporte E Lazer - (1 UN)"
76785-34975-37737,Enviado para Análise,"ORGÃO 02 PREFEITURA MUNICIPAL
UNIDADE 09 SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS
SUB UNIDADE 00 SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS
CONSTRUÇÃO E RECUPERAÇÃO DE RUAS, ESTRADAS E AVENIDAS 15.451.0016.1032.0000
OBRAS E INSTALAÇÕES  4.4.90.51 .00",MUNICIPIO DE NOVA SANTA RITA,ADEQUAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE NOVA SANTA RITA - PI,"""1"": ADEQUAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE NOVA SANTA RITA - PI - (10 KM)"
76772-38177-40926,APROVADO,"Construção, Recuperação e Manutenção de Obras e Logradouros Públicos 15.451.0008.1320",MUNICIPIO DE SAO PEDRO DO PIAUI,Obras e Serviços de Engenharia - PAVIMENTAÇÃO EM PARALELEPÍPEDO NA ZONA URBANA A CARGO DO MINISTÉRIO DAS CIDADES,"""1"": Elaboração de projeto executivo de engenharia de pavimentação de vias publicas na zona urbana do município de São Pedro do Piauí - PI - (1 UN); ""2"": Pavimentação de vias Publicas de 2.000 m2 em paralelepípedo na zona urbana do município de São Pedro do Piauí - PI - (2e+05 CM2)"
76776-37066-39783,Enviado para Análise,"PODER - 02 PODER EXECUTIVO
ORGÃO - 11 SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E INFRAESTRUTURA
UNIDADE - 01 SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E INFRAESTRUTURA
CONSTRUCAO DE PRAÇA - 15.451 .0261 .1035.0000
OBRAS E INSTALAÇÕES - 4.4.90.51.00",MUNICIPIO DE QUEIMADA NOVA,Construção de praça na zona urbana no município de Queimada Nova – Pi.,"""1"": Construção de praça na zona urbana no município de Queimada Nova – Pi. - (2500 M2)"
76791-38647-41398,APROVADO,"PODER: 02
ÓRGÃO: 07
UNIDADE: 00
Função: 15
Subfunção: 451
PROJETO / ATIVIDADE: 2276
FONTE DE RECURSO: 1.706, 1.710 E 1.500 
",MUNICIPIO DE CAXINGO,CONSTRUÇÃO DO PORTAL DE ENTRADA/SAÍDA NO MUNICÍPIO DE CAXINGÓ - PI,"""1"": CONSTRUÇÃO DO PORTAL DE ENTRADA/SAÍDA NO MUNICÍPIO DE CAXINGÓ - PI - (1144 M2)"
76778-35125-37886,APROVADO,4.4.90.51.00.00 - OBRAS E INSTALAÇÕES,MUNICIPIO DE RIACHO FRIO,ADEQUAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO,"""1"": ADEQUAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO - (19 KM)"
76773-39287-44140,Enviado para Análise,"CONSTR.AMPL., RECUPERAÇÃO DE UNIDADES DE SAUDE 10.301.0004.1012.0000",MUNICIPIO DE CABECEIRAS DO PIAUI,"Reforma da Unidade Básica de Saúde Francisco da Costa Veloso, CNES 2324644, localizada na Av. Francisco da Costa Veloso, s/n, Morada Nova, município de Cabeceiras do Piauí/PI, visando a melhoria da infraestrutura física e das condições de atendimento. Serão executadas adequações em consultórios médicos e odontológicos, sala de vacinação, almoxarifado, áreas administrativas e acessibilidade, garantindo ambientes seguros, funcionais e adequados para profissionais de saúde e usuários. O objetivo é fortalecer a Atenção Primária à Saúde, ampliando a qualidade, resolutividade e conforto dos serviços prestados. A execução dos recursos contemplará serviços de engenharia civil e aquisição de materiais de consumo necessários à obra, e caso o valor da reforma ultrapasse o montante repassado, o município prevê a complementação de recursos próprios para assegurar a conclusão integral das melhorias e a efetividade das metas propostas.","""1"": Reforma de Unidade  Básica de Saúde Francisco da Costa Veloso, CNES 2324644, no município de Cabeceiras - PI - (1 UN)"
76771-36804-39526,APROVADO,"ORGÃO: 02.00. -PREFEITURA MUNICIPAL
UNIDADE ORÇAMENTÁRIA: 02.05.00-SEC. MUNIC. DE OBRAS E SERVIÇOS PÚBLICOS
15 - URBANISMO
451 – Infraestrutura Urbana
15.451 - SERVICOS URBANOS
15.451.0003 - ADMINISTRAÇÃO GERAL
1.024-Construção e Reforma de Praças
",MUNICIPIO DE SAO FELIX DO PIAUI,Construção de Uma Praça no Bairro Centro zona Urbana do Municipio de São Felix do Piauí - PI,"""1"": Construção de Uma Praça no Bairro Centro zona Urbana do Municipio de São Felix do Piauí - PI - (48 M2)"
