CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,nome_executor,objeto_executor,data
83455-37161-39880,Enviado para Análise,02.03.15.451.0011.1024.0000.4.4.90.51 - (ORGÃO: PREFEITURA MUNICIPAL DE VERMELHO NOVO - UNIDADE: SECRETARIA DE OBRAS E SERVICOS PUBLICOS - SUB UNIDADE: SECRETARIA DE OBRAS E SERVICOS PUBLICOS - CONST. AMP. REF. CEMITERIO E CAPELA VELORIO),MUNICIPIO DE VERMELHO NOVO,CONSTRUÇÃO DE CAPELA MORTUÁRIA,"""1"": Construção de uma capela velório no Município de Vermelho Novo/MG, com o objetivo de oferecer um espaço digno e adequado para a realização de cerimônias fúnebres. - (126 M2)"
83461-37343-40074,Em Complementação,"02.008..001- Departamento de gestão urbana
15- Urbanismo
451- Infraestrutura urbana
0015- Edificações, obras e serviços públicos
2043- Manutenção e Conservação de vias urbanas
4.4.90.52.00- Equipamentos e material permanente",MUNICIPIO DE ENTRE RIOS DE MINAS,"Aquisição de 01 (uma) caminhonete utilitária, com tração 4x4, cabine dupla, destinada às atividades de manutenção e conservação das vias públicas urbanas do município de Entre Rios de Minas.","""1"": Aquisição de Caminhonete - (1 UN)"
83439-38343-41150,Em Ajuste do Plano de Trabalho,"02 - Município de Periquito
12 - Secretaria Municipal de Obras
15 - Urbanismo
451 - Infraestrutura Urbana
0018 - Obras de Infraestrutura Urbana
1006 - Construção/Ampliação/Reforma de Prédios Públicos
4.4.90.51.00 - Obras e Instalaçõesss",MUNICIPIO DE PERIQUITO,"Construção de prédio público com salas para armazenamento de arquivos (almoxarifado), atividades administrativas de interesse coletivo e atendimento aos cidadãos (recebimento de protocolos e solicitações, emissão de documentos, agendamentos, certidões e ouvidoria).
","""1"": Construção de prédio público com salas para armazenamento de arquivos (almoxarifado), atividades administrativas de interesse coletivo e atendimento aos cidadãos - (Área urbana=189m²) - localizada na Rua Bahia, s/n - Centro, Periquito/MG, CEP: 35118-000. - (189 M2)"
83468-38908-41660,Enviado para Análise,"02.06.02.15.451.0005.1051 construção conservação melhoria de vias urbanas
4.4 90.51 00 Obras e instalações 
02.06.02 15.541.0005.1050 aquisição material permanente
4.4.90.52.00 Equipamento e material permanente",MUNICIPIO DE SANTO ANTONIO DO RIO ABAIXO,"AQUISIÇÃO DE CAMINHÃO DE PEQUENO PORTE, PARA AUXILIAR NAS OBRAS DE MANUTENÇÃO NA ÁREA URBANA.","""1"": CAMINHÃO 4x2, PBT 9.600 kg  Caminhão novo, zero quilômetro, modelo urbano leve, tração 4x2, com peso bruto total mínimo de 9.600 kg, motor dianteiro diesel com no mínimo 4 cilindros, potência mínima , PARA AUXILIAR NAS OBRAS DE MANUTENÇÃO NA ÁREA URBANA. - (1 UN)"
83448-39866-42648,Enviado para Análise,"4.4.90.51.00.2.04.00.15.451.0007.1.0016 - Construção, reforma e ampliação de praças, parques e jardins.",MUNICIPIO DE SANTANA DO DESERTO,"Revitalização de praças, jardins e trevos de acesso com identificação, sinalização viária e iluminação.","""1"": Revitalização de praças, jardins e trevos de acesso com identificação, sinalização viária e iluminação. - (1000 M2)"
83452-39849-42632,Enviado para Análise,050215.451.0029.3020,MUNICIPIO DE PINTOPOLIS,"execução de pavimento Inter travado em blocos sextavados na Comunidade Vila Acari, Rua Santos Reis, Rua Rita Vieira (trecho) e vias entorno da rodoviária na área urbana no município de Pintópolis-MG. com total de 4575,28 m²( quatro mil ,quinhentos e setenta e cinco virgula vinte e oito metros quadrados)","""1"": contratação de empresa especializada para construção de calçadas ou calçamento de vias públicas - (1 OUTR)"
83445-40831-43660,Em Complementação,894 02.021.071.10.301.1001.1.377.4.4.90.51.00,FUNDO MUNICIPAL DE SAUDE - INGAI,Reforma de prédio público de Unidade Básica de Saúde,"""1"": Reforma de Prédio Público - Unidade Básica de Saúde - (400 M)"
83447-43081-46110,Enviado para Análise,"Orgão 	8 	SECRETARIA MUNICIPAL FAMILIA E POLÍTICAS SOCIAIS
Unidade 	2 	FDO. MUN. ASSIST. SOCIAL
Função 	8 	ASSISTÊNCIA SOCIAL
Sub-Função 	122 	ADMINISTRAÇÃO GERAL
Programa 	2025 	GESTAO DO SUAS
Proj./Atividade 	3991 	INVESTIMENTOS SUAS
Elemento 	3.4.4.5.0.51.00.00.00 	Obras e Instalacoes
Recurso 	17060000 	TRANSFERENCIA ESPECIAL DA UNIAO",MUNICIPIO DE PIRAPORA,"Contrato de prestação de serviço de modernização/ampliação da Casa de Proteção Dr. Carlos Roberto Martins Tavares
 no município de Pirapora/MG objetivando melhorar a eficiência, a segurança, o conforto e a acessibilidade para servidores e cidadãos,","""1"": Contrato de prestação de serviço de modernização/ampliação da Casa de Proteção Dr. Carlos Roberto Martins Tavares no município de Pirapora/MG. - (134 M2)"
83442-40659-43477,Enviado para Análise,"12 educação 
361 ensino fundamental
060212.361.0403.3015  OBRAS REFORMA CONSTRUÇÃO AMPLIAÇÃO PARA O ENSNO FUNDAMENTAL
",MUNICIPIO DE CLARO DOS POCOES,"PROJETO DE REFORMA DE PAVILHÃO ESCOLAR E AMPLIAÇÃO COM A CONSTRUÇÃO DE NOVO ESPAÇO DA ESCOLA GABRIELA DE CASTRO, LEI DE CRIAÇÃO 119/1997 LOCALIZADA NA RUA OSMAR PRATES DE CARVALHO N° 159 CENTRO NO MUNICÍPIO DE CLARO DOS POÇÕES 
ÁREA DE REFORMA: CERCA DE 480 METROS QUADRADOS
ÁREA DE AMPLIAÇÃO: CERCA DE 500 METROS QUADRADOS
","""1"": REFORMA DE PAVILHÃO ESCOLAR E AMPLIAÇÃO COM A CONSTRUÇÃO DE NOVO ESPAÇO DA ESCOLA GABRIELA DE CASTROLOCALIZADA NA RUA OSMAR PRATES DE CARVALHO N° 159 CENTRO NO MUNICÍPIO DE CLARO DOS POÇÕES  ÁREA DE REFORMA: CERCA DE 480 M² ÁREA DE AMPLIAÇÃO: CERCA DE 500 - (1 UN)"
83459-43100-47361,Enviado para Análise,NA,MUNICIPIO DE DATAS,"O objeto de execução será a manutenção de vias públicas com calçamentos em bloquetes e ou pavimentação asfáltica de ruas no município de Datas - MG com objetivo de proporcionar conforto à população, melhorar condições de limpeza, contribuindo para a saúde pública e de forma geral  melhorar a infraestrutura urbana do município.","""1"": Manutenção em diversas ruas do municipio com calçamentos em Bloquetes e ou Pavimentação asfáltica em diversas ruas do município de Datas. - (5 UN)"
83470-35555-38299,APROVADO,"05 SEC. MUN.OBRAS TRANSP.SERV. URBANO
0521 SETOR DE OBRAS E SERV. URBANOS
052115 URBANIZAÇÃO
052115.451 INFRA-ESTRUTURA URBANA
052115.451.0037 TRANSPORTE E TRÂNSITO
052115.451.0037.3017 CALÇAMENT., ASFALT. CONST. MEIO
3449051000000 Obras e Instalações
15000000 Recurso
163 Reduzido",MUNICIPIO DE UBAI,"CONSTRUÇÃO DE 3.026,00 M2 DE PASSEIO PÚBLICO","""1"": CONSTRUÇÃO DE PASSEIO PÚBLICO PARA ACESSIBILIDADE DE PEDESTRE - (3026 M2)"
75595-41412-44288,Em Complementação,"20.606.0026.2097 - Manutenção e Controle de Abastecimento de Agua em Comunidades Rurais/33903900 Outros Serv. Terc. - P. Jurídica /1500000000 Recursos Não Vinculados de Impostos / 0670 100.000,00",MUNICIPIO DE JENIPAPO DE MINAS,"AQUISIÇÃO DE KITS DE ÁGUA LIMPA PARA COMUNIDADES RURAIS DE CURTUME, ESTIVA, RIBEIRÃO DE AREIA, SANTANA E CIPÓ, MUNICÍPIO DE JENIPAPO DE MINAS","""3"": FORNECIMENTO E INSTALAÇAO DE DOSADOR AUTOMÁTICO DE CLORO - (5 UN); ""4"": AQUISIÇÃO DE KITS DE TESTE RÁPIDO DA ÁGUA - (60 UN); ""5"": AQUISIÇÃO DE EPIs e materiais diversos - (5 UN); ""6"": OFICINAS DE CAPACITAÇÃO COMUNITÁRIA - (10 UN); ""7"": MATERIAL EDUCATIVO - (750 UN); ""8"": TRANSPORTE E LOGÍSTICA - (20 UN); ""1"": AQUISIÇÃO DE FILTRO CENTRAL EM AÇO INOX COM DISCOS DE QUARTZO E MANTA - (5 UN); ""2"": FORNECIMENTO E INSTALAÇÃO DE HIDRÔMETROS Q3 DN15X165 MM - (260 UN)"
83481-42445-45351,APROVADO,"04.00 SEC. DE AGRICULTURA, ABASTECIMENTO, PESCA E MEIO A
20.609.2005.1012 CONSTRUÇÃO DE MATADOURO PÚBLICO E EQUIPAMENTOS",MUNICIPIO DE CONGO,2º etapa da construção do Matadouro,"""1"": 2º etapa da construção do Matadouro - (1 UN)"
83474-39754-42536,APROVADO,44.90.51 – Obras e Instalações,MUNICIPIO DE DIOGO DE VASCONCELOS,Execução de obras de pavimentação de vias públicas na cidade de Diogo de Vasconcelos,"""1"": Recapeamento asfáltico nas Ruas Professor Fontoura e Padre Cupertino no centro do município de Diogo de Vasconcelos, medindo área de 1.400m² - (1400 M2)"
83501-34372-37195,APROVADO,"Órgão: 02 - Prefeitura Municipal
Unidade: 06 - Secretaria Municipal de Desenvolvimento Social e Habitação
Sub-Unidade: 01 – Fundo Municipal de Assistência Social - FMAS
Programa de Trabalho: 08.244.0042.1.027 - Construção e Ampliação do Centro de Referência de Assistência Social - CRAS
Elemento de Despesa: 4490.51.00 - Obras e Instalações
Fonte de Recurso: 706 - Transferência Especial da União",MUNICIPIO DE CONGONHAL,"Construção do Centro de Referência de Assistência Social (CRAS) na rua Dona Pulcheria de Paiva Pinto, Centro de Congonhal/MG","""1"": Construção do Centro de Referência de Assistência Social (CRAS) na rua Dona Pulcheria de Paiva Pinto, Centro de Congonhal/MG - (375 M2)"
83486-35601-38346,APROVADO,"00.207 SEC DE INFRA-ESTRUTURA, OBRAS E SERVIÇOS URBANOS
15 451 0006 1014 Pavimentação
4490.51 OBRAS E INSTALAÇÕES",MUNICIPIO DE SOBRADO,Pavimentação de vias no Conjunto Recanto da Paz no município de  Sobrado-PB (Perímetro Urbano),"""1"": Pavimentação de vias no Conjunto Recanto da Paz no município de  Sobrado-PB (Perímetro Urbano) - (2500 M2)"
83503-43643-46679,APROVADO,13.0301. 26.782.0015.1078 - Investimentos para Melhoria e Ampliação de Estradas Vicinais,MUNICIPIO DE JACINTO,"CAMINHÃO PIPA COM CAPACIDADE DE 9.000 LITROS, potência mínima 185 cv, ano de fabricação/modelo 2024 ou superior, novo-zero km, cor branca, ar condicionado de fábrica, PBT mínimo legal de 16.000 kg e carga útil mínima de 11400 kg, combustível diesel, com carroceria tipo pipa, tanque para água construído em aço carbono, tratamento interno com tinta epóxi, chapa em aço 1020 mínimo 4,50 mm, com quebra ondas, carretel com mangueira de alta pressão com bico regulável e comprimento mínimo de 15 metros com 1 polegada, suporte para fixar magote e válvula de sucção, fixação através de vigas em aço carbono, bomba acionada por tomada força através de cardan para auto carregamento, com sistema traseiro para aspersão de água, chuveiro traseiro e bico de pato lateral, com lameiro de borracha, guarda corpo na parte superior do reservatório que atenda a nr12, faixas refletivas, proteção lateral, chave geral para baterias, caixa/dispositivo protetor de baterias e demais equipamentos de segurança exigidos pelo código de trânsito brasileiro/CONTRAN abastecido com no mínimo ¼ do tanque de combustível.
","""1"": AQUISIÇÃO DE CAMINHÃO PIPA COM CAPACIDADE DE 9.000 LITROS. - (2 UN)"
83508-37524-44852,APROVADO,"02- PREFEITURA
02.12- OBRAS PÚBLICAS
02.12.01- SECRETARIA OBRAS PÚBLICAS
15.451.0018.2080- PAVIMENTAÇÃO VIAS E LOGRADOUROS 
4.4.90.51.00- OBRAS E INSTALAÇÕES
443- FICHA",MUNICIPIO DE FREI INOCENCIO,"PAVIMENTAÇÃO COM BLOCOS SEXTAVADOS DE CONCRETO, DRENAGEM
SUPERFICIAL E SINALIZAÇÃO VIÁRIA URBANA DA RUA CASTANHEIRA
(TRECHO 1 - E00 ATÉ E6+1,95; RUA CASTANHEIRA TRECHO 2 - E00 A
E7+12,81); RUA PETUNIA TRECHO 2 - E00 A E1+16,56); RUA CASTANHEIRA
TRECHO 3 - E00 A E9+7,04) E REDES DE DRENAGEM PROFUNDA DA RUA
CASTANHEIRA E RUA PETUNIA (TRECHO 2 – E3 ATÉ E9+10,93); RUA
CASTANHEIRA (TRECHO 3 – E3+10 ATÉ E9+12,15), BAIRRO GAMELEIRA, FREI
INOCÊNCIO/MG.","""1"": Execução de pavimentação, drenagem profunda e superficial e sinalização viária urbana das ruas das Castanheiras, trecho da rua Petúnia e trecho da rua Xique Xique - (2791 M2)"
83487-37732-40472,APROVADO,"02.09 SECRETARIA MUNICIPAL DE INFRA ESTRATURA
15.122.0028.1011 CON. REC. AMPL. EM PAV. DREN. RUAS E AVENIDAS",MUNICIPIO DE PAULISTA,Pavimentação em vias Urbanas,"""1"": Pavimentação em vias urbanas - (10000 UN)"
83510-36723-39452,Enviado para Análise,02.04.01.23.691.0023.2096 4.4.90.51.00,MUNICIPIO DE ITAJUBA,Apoio à implementação de centros permanentes de comercialização por meio do cooperativismo,"""1"": Apoio à implementação de centros permanentes de comercialização por meio do cooperativismo - (1 UN)"
83488-40384-43194,APROVADO,"02.005 - SECRETARIA DE INFRAESTRUTURA
15 451 2002 1031 - Implantação, Ampliação ou melhoria de Obras de Infraestrutura Urbana e Rural
4490.51 99 - OBRAS E INSTALAÇÕES
",MUNICIPIO DE SANTANA DE MANGUEIRA,"Pavimentação asfáltica nas ruas (Zona Urbana de Santana de Mangueira):

R. Dr. Nelsom Ribeiro Lopes (3.248m²)
R. Cap. Manoel Mangueira (584,5m²)
R. Projetada Três (304,5m²)","""1"": Pavimentação asfáltica nas ruas (Zona Urbana de Santana de Mangueira):  R. Dr. Nelsom Ribeiro Lopes (3.248m²) R. Cap. Manoel Mangueira (584,5m²) R. Projetada Três (304,5m²) - (4137 M2)"
83499-40765-43593,APROVADO,"11 - SECRETARIA MUNICIPAL CULTURA, ESPORTE, LAZER E TURISMO
03 - FUNDO MUNICIPAL ESPORTE E LAZER
01 - FUNDO MUNICIPAL ESPORTE E LAZER
27.812.0039.3087 - CONTRUÇÃO E AMPLIAÇÕES DE UNIDADES E DE LAZER
44905100 - OBRAS E INTALAÇÕES",MUNICIPIO DE MATA VERDE,"A presente proposta tem por finalidade a construção de um Espaço Multiuso Coberto para Esporte, Lazer e Cultura no município de Mata Verde/MG, vinculado ao objeto “Construção, Reforma ou Ampliação de Espaços de Esporte e Lazer”. A infraestrutura será projetada de forma a atender prioritariamente a práticas esportivas e recreativas, contemplando modalidades como ginástica, dança, zumba e atividades de condicionamento físico, promovendo o acesso da população a um ambiente adequado, seguro e inclusivo. O espaço será concebido em formato adaptável, permitindo sua utilização também em ações de caráter cultural e comunitário, como apresentações artísticas, eventos educativos e manifestações tradicionais locais, desde que vinculados à promoção da integração social e ao fortalecimento das políticas públicas de esporte e lazer. Dessa forma, a obra contribuirá para a melhoria da qualidade de vida da comunidade, fomentando a prática regular de atividades físicas, a socialização e o desenvolvimento sociocultural do município.","""1"": A presente proposta tem por finalidade a construção de um Espaço Multiuso Coberto para Esporte, Lazer e Cultura no município de Mata Verde/MG - (1 UN)"
83500-41281-44151,APROVADO,Manutenção Atividades Vias Urbanas Municipais - Obras e Instalações: 02.06.01.15.451.1329.2058.44905100.1706003110.0267.,MUNICIPIO DE COMERCINHO,"Pavimentação de vias públicas, em bloquete, na zona urbana, no Povoado Retiro da Saudade, no Município de Comercinho/MG.","""1"": Pavimentação de vias públicas, em bloquete, na zona urbana, no Povoado Retiro da Saudade, no Município de Comercinho/MG. - (3000 M2)"
83504-39742-43342,APROVADO,02.004.005.15.451.0028.1013,MUNICIPIO DE LAGOA SANTA,Pavimentação e drenagem de 2 km de via.,"""1"": Pavimentação/recapeamento - (2 KM); ""2"": Drenagem - (2 KM)"
83480-36165-38895,APROVADO,1010 Const.Recup.Conserv.de Estradas Vicinais e Passagem Molhada.,MUNICIPIO DE SANTA CECILIA,Pavimentação de Estradas Vicinais,"""1"": Pavimentação de Estradas Vicinais - (1 M2)"
83505-40375-43185,APROVADO,NA,MUNICIPIO DE MINAS NOVAS,PAVIMENTAÇÃO ASFALTICA DE ESTRADAS VICINAIS (ZONA RURAL) DE LIGAÇÃO DA SEDE AOS DISTRITOS,"""1"": PAVIMENTAÇÃO ASFALTICA DE ESTRADAS VICINAIS (ZONA RURAL) DE LIGAÇÃO DA SEDE AOS DISTRITOS - (14279 M2)"
83477-40818-43647,APROVADO,"02.100 SECRETARIA DE OBRAS PUBLICAS E SERV. URB
15 451 0575 1009 Const/Rec.Calçamentos,Meio-Fio,Galerias Pavimentação e Drenagem",MUNICIPIO DE MATARACA,Pavimentação,"""1"": Pavimentação - (600 M)"
83507-37825-40567,APROVADO,01 02 04 02 15 241 0002 1057 0000 - CONSTRUÇÃO DO ASILO.,MUNICIPIO DE BOM REPOUSO,"EXECUÇÃO DO PISO E DO AZULEJO NAS DEPENDÊNCIAS DO ASILO MONSENHOR ALDERIGI, SITUADO NA AVE. BOM RETIRO, N.º 200, BAIRRO ARAÚJOS; ATUALMENTE EM FASE DE CONSTRUÇÃO.","""2"": REVESTIMENTO COM AZULEJO BRANCO, JUNTA A PRUMO, ASSENTAMENTO COM ARGAMASSA INDUSTRIALIZADA, INCLUSIVE REJUNTAMENTO. - (1818 M2); ""1"": REVESTIMENTO COM GRANITO, APLICADO EM PISO, ESP. 2CM, ASSENTAMENTO COM ARGAMASSA INDUSTRIALIZADA, INCLUSIVE REJUNTAMENTO. - (3126 M2)"
83478-42570-45492,APROVADO,"25 752 0024 SECRETARIA DE OBRAS, VIAÇÃO E URBANISMO
",MUNICIPIO DE MATO GROSSO,Pavimentação em vias urbanas,"""1"": Pavimentação em vias urbanas - (500 M)"
83476-40249-43057,APROVADO,"Orgão 2 - Prefeitura Municipal de Volta Grande 
Unidade 16: Secretaria de OBras 
15.451.004.1.009.44.90.51O BRAS DE INFRA ESTRUTURA E MOBILIDADE URBANA - (dentroDdo  perimetro Urbano  )

15.451.004..1.0010.44.90.51 CONSTRUÇÃO E REFORMA DE PRAÇAS E JARDINS (na Região Central do Municipio - (Zona Urbana )

15.451.004.1.0011..44.90.51 CONSTRUÇÃO E REFORMA DE CALÇADAS - (bairro - Beira - Rio , Meia Lua , Bonssucesso , Vila Maria, Trimonte ,  são Geraldo e Parque dos Jaraguas - na Zona Urbana 
15.451..004.1.0007.44.90.51 PAVIMENTAÇÃO  DE VIAS PUBLICAS - Perimetro Urbano de Volta Grande - na Zona urbana 


",MUNICIPIO DE VOLTA GRANDE,"Orgão 2 - Prefeitura Municipal de Volta Grande 
Unidade 16: Secretaria de OBras 
15.451.004.1.009.44.90.51O BRAS DE INFRA ESTRUTURA E MOBILIDADE URBANA - (dentroDdo  perimetro Urbano  )

15.451.004..1.0010.44.90.51 CONSTRUÇÃO E REFORMA DE PRAÇAS E JARDINS (na Região Central do Municipio - (Zona Urbana )

15.451.004.1.0011..44.90.51 CONSTRUÇÃO E REFORMA DE CALÇADAS - (bairro - Beira - Rio , Meia Lua , Bonssucesso , Vila Maria, Trimonte ,  são Geraldo e Parque dos Jaraguas - na Zona Urbana 
15.451..004.1.0007.44.90.51 PAVIMENTAÇÃO  DE VIAS PUBLICAS - Perimetro Urbano de Volta Grande - na Zona urbana 


","""4"": MANUTENÇÃO DAS VIAS PUBLICAS - entre 5 a 10 ruas - (10 M2); ""2"": CONSTRUÇÃO E REFORMA DE PRAÇAS E JARDINS 4 praças - (4 MM2); ""3"": CONSTRUÇÃO E REFORMA DE CALÇADAS - (9 M2); ""1"": OBRAS DE INFRA ESTRUTURA E MOBILIDADE URBANA  2mil mts ² - (8 M2)"
83490-39162-41922,Em Complementação,"20.070 SECRETARIA DE INFRAESTRUTURA
15 451 0007 1055 PAVIMENTAÇÃO EM VIA PUBLICAS NO MUNICIPIO DE CASSERENGUE
4490.51 99 OBRAS E INSTALAÇÕES",MUNICIPIO DE CASSERENGUE,PAVIMENTAÇÃO EM VIAS PUBLICAS NO MUNICÍPIO DE CASSERENGUE/PB,"""1"": PAVIMENTAÇÃO EM VIAS PUBLICAS NO MUNICÍPIO DE CASSERENGUE/PB - (1 M)"
83475-40539-43349,Enviado para Análise,"Órgão: 03 – Executivo Municipal
Unidade Orçamentária: 03.002 – Diretoria de Projetos e Fiscalização de Obras Públicas
Departamento: 03.002.027 – Revitalização de Prédios Públicos
Programa: 30.609 – Obras de Infraestrutura Urbana
Ação (Projeto): 1.002 – Construir e Reformar Praças, Parques e Jardins 
Natureza da Despesa: 4.4.90.51.00.00.00 – Obras e Instalações",MUNICIPIO DE OURO BRANCO,Execução de obras de revitalização de Praça pública,"""1"": Execução de obras de revitalização de Praça, no município de Ouro branco / MG - (308 M2)"
83506-40755-43582,Enviado para Análise,02.05.03.15.451.0025.1011Implantação de Rede de Drenagem de Águas Pluviais.,MUNICIPIO DE ARINOS,"Transferência de recurso financeiro para execução de obras e serviços de drenagem urbana no Município de Arinos/MG, visando o controle de alagamentos, a melhoria da infraestrutura urbana e a prevenção de danos causados por águas pluviais, promovendo maior segurança e qualidade de vida à população.","""1"": Drenagem Urbana - (1 UN)"
83482-38203-40950,APROVADO,"07.00 - SECRETARIA DE INFRA-ESTRUTURA - SEINFRA
15.451.2024.1030 - CONST/RECUPERAR PAVIMENTAÇÃO COM PARALELEPIPEDOS NAS
4.4.90.51.01 - OBRAS E INSTALAçõES",MUNICIPIO DE GURJAO,"Pavimentação em paralelepípedos das ruas:
PROJETADA 1, PROJETADA 2, PROJETADA 3, PROJETADA 4 E PROJETADA 5, CENTRO, GURJÃO/PB. (Zona Urbana)","""1"": Pavimentação em Paralelepípedo da Rua Projetada 1 - (244 M2); ""2"": Pavimentação em Paralelepípedo da Rua Projetada 2 - (244 M2); ""3"": Pavimentação em Paralelepípedo da Rua Projetada 3 - (553 M2); ""4"": Pavimentação em Paralelepípedo da Rua Projetada 4 - (1191 M2); ""5"": Pavimentação em Paralelepípedo da Rua Projetada 5 - (1919 M2)"
83479-36827-39550,APROVADO,"05.01 DEPARTAMENTO DA INFRAESTRUTURA
15.451.0575.1016 CONSTRUIR E REPOR CALÇAMENTOS, MEIO FIO, MURO DE ARRIMO E GALERIAS
4.4.90.51.01 OBRAS E INSTALAçõES",MUNICIPIO DE PEDRO REGIS,"Pavimentação em Paralelepípedo de Ruas no Distrito Lages, Localizado na Zona Urbana do Município de Pedro Régis - PB","""1"": Pavimentação em Paralelepípedo de Ruas no Distrito Lages, Localizado na Zona Urbana do Município de Pedro Régis - PB - (2800 M2)"
83518-38121-40872,APROVADO,07.01.02-15.451.0022.7010-44905100 - 1706003110 - Pavimentação de vias urbanas,MUNICIPIO DE MEDINA,Calçamento em Pavimento em Piso Intertravado em bloco sextavado de Concreto em vias urbanas do Municipio de Medina - MG (  A unidade está em M2),"""1"": Calçamento em Pavimento em Piso Intertravado em bloco sextavado de Concreto em vias urbanas do Municipio de Medina - MG (  A unidade está em M2) - (3830 M2XKM)"
83519-43206-46177,APROVADO,"15 451 0013 1.021 - ABERTURA, CALCAMENTO E ASFALT. DE RUAS E AVENIDAS - 449051: Obras e Instalacoes",MUNICIPIO DE UBAPORANGA,"PAVIMENTAÇÃO COM BLOQUETE EM VIAS PÚBLICAS URBANAS NO MUNICÍPIO DE  UBAPORANGA/MG, CONFORME METAS","""1"": PAVIMENTAÇÃO COM BLOQUETE NA RUA MARIA DA CONCEIÇÃO, NO DISTRITO SÃO SEBASTIÃO DO BATATAL NO MUNICÍPIO DE UBAPORANGA/MG - (850 M2); ""2"": PAVIMENTAÇÃO COM BLOQUETE MORRO DA COPASA(EXTENSÃO DE RUA),  BAIRRO JOÃO CARLOTA, MUNICÍPIO DE UBAPORANGA - (906 M2)"
83516-41781-44670,APROVADO,NA,MUNICIPIO DE BANDEIRA,"AMPLIAÇÃO DO MERCADO MUNICIPAL DE BANDEIRA -
MG","""1"": AMPLIAÇÃO DO MERCADO MUNICIPAL - (1 UN)"
83513-39079-41869,APROVADO,"02 - EXECUTIVO MUNICIPAL
020 - SECRETARIA MUNICIPAL DE ESPORTE
001 - SECRETARIA MUNICIPAL DE ESPORTE
27.812.2701.1056 INVESTIMENTOS CONVENIO ESPORTE
4.4.90.51.00.00  Obras e Instalações
1706",MUNICIPIO DE SABARA,"Construção de 03 espaços de lazer em núcleos distintos com vulnerabilidade social.
Cada espaço conterá:
Quadra de Areia Multiuso (Vôlei, Peteca e afins);
Aparelhos de ginástica para Idosos;
Playground Infantil.","""1"": Contratação de Empresa para Construção de 03 Espaços de Lazer Multiuso - (1 UN)"
