id_plano_acao,id_executor,cnpj_executor,nome_executor,objeto_executor
83497,44178,08737694000156,MUNICIPIO DE FAGUNDES,Reforma e ampliação do Mercado Publico
76292,45164,13910211000103,MUNICIPIO DE JAGUAQUARA,"Pavimentação em Paralelepípedo, com fornecimento de materiais em diversas ruas do município de Jaguaquara-BA."
76295,44111,11322978000196,FUNDO MUNICIPAL DE SAUDE DE CONCEICAO DO JACUIPE,REFORMA DE UNIDADE BÁSICA DE SAÚDE DE CONCEIÇÃO DO JACUÍPE
79254,44250,10273548000169,MUNICIPIO DE CORTES,"O objeto do presente convênio consiste na execução de obras de revitalização urbana, com foco na construção e adequação de calçadas e passeios públicos, visando a melhoria das condições de mobilidade e acessibilidade nas áreas urbanas. As ações previstas incluem a implantação de calçadas acessíveis, com adequações conforme as normas técnicas vigentes, promovendo o uso seguro e inclusivo dos espaços públicos por pedestres, pessoas com deficiência, mobilidade reduzida e demais usuários. As intervenções poderão abranger ainda a requalificação de pavimentos existentes, instalação de elementos de sinalização e melhorias no ambiente urbano. O objetivo é contribuir para a valorização do espaço público, promover a inclusão social e garantir o direito de ir e vir com segurança, conforto e dignidade para toda a população."
76299,42490,13721188000109,MUNICIPIO DE BUERAREMA,Pavimentação de Ruas do Bairro km 02
84650,46502,10273548000169,MUNICIPIO DE CORTES,"Manutenção e complementação de obras de contenção de encosta em áreas urbanas do município de Cortês/PE. Executar ações de manutenção, reforço e complementação das obras de contenção de encostas situadas em áreas urbanas do município de Cortês, com o objetivo de prevenir deslizamentos, proteger residências e infraestruturas públicas, e garantir a segurança da população, especialmente no período chuvoso, quando o risco geológico é elevado. O município de Cortês, localizado na Zona da Mata Sul de Pernambuco, enfrenta recorrentes problemas geotécnicos durante o período de chuvas intensas, que resultam em escorregamentos de massa, erosões e instabilidade em diversas encostas urbanas. Essas situações colocam em risco a vida de moradores, causam prejuízos ao patrimônio público e privado e afetam a mobilidade urbana. As áreas identificadas como prioritárias apresentam contenções antigas, degradadas ou inexistentes, necessitando intervenções emergenciais e estruturais para garantir a estabilidade dos terrenos e prevenir novos desastres. Local de Execução: Encostas localizadas em áreas urbanas do município de Cortês/PE, previamente mapeadas pela Defesa Civil Municipal e pela Secretaria de Infraestrutura, com prioridade para regiões classificadas como de alto risco geológico."
76487,42501,11361896000150,MUNICIPIO DE SAO VICENTE FERRER,Adquirir Mobiliário De Sala De Aula
76119,46787,06235006000124,MUNICIPIO DE CEDRAL,Incremento do Piso da Atenção Básica Primária à Saúde - PAP no município de Cedral/MA
80152,42995,29138286000158,MUNICIPIO DE NILOPOLIS,"Contratação de Empresa para prestação de  serviços ampliando a capilaridade do programa Disque Denúncia de forma a melhor atender o cidadão. acompanhar denuncias, reclamações de ações delituosas, ouvir o cidadão de forma a permitir voz e vez em suas demandas de segurança pública."
76308,41356,84306588000104,MUNICIPIO DE EPITACIOLANDIA,"Manutenção, Adequação, Recuperação de vias urbanas, irá garantir maior segurança e conforto para pedestres e veículos; Redução de acidentes causados por buracos e má conservação das ruas; Aumento da durabilidade do pavimento e otimização dos recursos públicos; Valorização das áreas urbanas e melhoria da qualidade de vida da população. Serão beneficiados, especialmente os moradores das áreas urbanas, condutores de veículos, pedestres, comerciantes e usuários dos serviços públicos que dependem de vias em boas condições para deslocamento seguro e eficiente. Por meio da aplicação de 1.673,00 toneladas de Concreto Betuminoso Usinado a Quente (CBUQ) em 2,6 km de vias, no prazo de até 6 meses."
76311,41405,84306455000120,MUNICIPIO DE RODRIGUES ALVES,Pavimentação Asfáltica com Meio Fio e Sarjetas em Vias Urbanas
76051,40973,88572748000100,MUNICIPIO DE NOVA PETROPOLIS,"Pavimentação de trecho da Rua Aloysio Arthur Mombach, localizada na comunidade de Arroio Paixão, no município de Nova Petrópolis, com área total de 5.600 m²"
79223,40857,83102368000198,MUNICIPIO DE GUABIRUBA,Aquisição de caminhonete 4x4
76317,40188,08740102000155,MUNICIPIO DE OLIVEDOS,"Custeio para Estruturação da Rede de Serviços do Sistema Único de Assistência Social (SUAS). O recurso será utilizado para pagamento das seguintes despesas: Material de Consumo para o CRAS e SCFV, pagamento de prestação de serviço de oficineiros e demais despesas vinculadas aos serviços desempenhados para fortalecimento da proteção social do PAIF e SCFV, no âmbito dos trabalhos das técnicas e sendo complementados pelo SCFV. E, pagamento de serviços de pessoa jurídica para ações comunitárias de fortalecimento das ações de acolhida, garantia de acesso a lazer, cultura e demais ambientes de proteção social aos usuários do PAIF e SCFV."
76320,40510,08917080000156,MUNICIPIO DE SAPE,"Aquisição de Brinquedos  para  creches e escolas com turmas da educação infantil por meio  da Secretaria de Educação do Município de Sapé/PB( Kit Blocos de encaixe grandes (plástico atóxico) –  KIT 310, Kit Brinquedos de empilhar (torres, argolas, copos UM 320, Kit Brinquedos de encaixe simples (formas geométricas) KIT280, Kit Fantoches/dedoches de animais e pessoas – KIT 300, Tapetes educativos plásticos (com cores, números, texturas) UN280 , Jogos de memória ilustrados (figuras, animais, frutas, letras, números) UN310, Dominós ilustrados (cores, números, objetos, animais, frutas) UN310, Kit Fantasias e acessórios (roupas de profissões, capas, chapéus) UN210, Kit Casinha com panelinhas e alimentos de brinquedo plástico UN300, Kit Brinquedos musicais de plástico (tambor, chocalho, pandeiro)UN300, Kit Massinha de modelar + ferramentas plásticas UN300, Material dourado (barras, unidades, dezenas)UN300, Conjunto Blocos lógicos (formas, cores, tamanhos)CJ 300, Quebra-cabeças progressivos (12 a 48 peças)UN310, Conjunto Tangram infantil (plástico ou madeira) CJ 300, Kit Jogos coletivos (bolas, cordas, bambolês, petecas)UN310 e  Fantocheiros temáticos de plástico ou papel (histórias infantis)UN366. )"
76322,46041,01612686000134,MUNICIPIO DE CACIMBAS,Serviços de Manutenção de de Esgotamento e coleta de Resíduos sólidos e limpeza Publica urbanas
76491,45677,12070878000182,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CALCADO,"AQUISIÇÃO DE COMBUSTIVEL;
AQUISIÇÃO DE INSUMOS PARA COZINHA COMUNITÁRIA."
76323,42960,01612689000178,MUNICIPIO DE MATUREIA,"Materiais de Consumo   ( Insumos Limpeza, escritório, higiene, utensílios, oficinas uso Proteção Social Básica; Proteção Social Especial)"
77578,46838,08807619000114,FUNDO MUNICIPAL DE SAUDE DE CAPOEIRAS,CONTRATAÇÃO DE PESSOA JURIDICA PARA PRESTAÇÃO DE SERVIÇOS MÉDICOS
77674,44157,04505640000104,MUNICIPIO DE MARAA,"Execução de pavimentação em concreto armado em perímetro urbano com extensão de 0,396 km, incluindo serviços de base, sub-base, drenagem e sinalização viária, bem como revitalização de 01 (uma) ponte existente ao longo do percurso. A intervenção visa melhorar a mobilidade urbana, promover segurança no tráfego e garantir maior durabilidade das vias públicas. Coordenadas: Início: 01º51’30,4’’ O | 065º35’31,40’’ W Fim: 01º51’19,7’’ O | 065º35’37,40’’ W"
76283,43296,14006977000120,MUNICIPIO DE CRUZ DAS ALMAS,"Pavimentação asfáltica em vias do Município, onde serão realizados serviços de engenharia, além de: levantamento topográfico e de condições atuais da via, promoção de aplicação de camadas de material granular se necessário (como cascalho ou pedra britada) para formar a base, compactação adequada de cada camada para garantir durabilidade e aplicação a fim de executar da camada de pavimento asfáltico conforme o projeto a ser apresentado."
75427,38449,63786990000155,MUNICIPIO DE VALE DO PARAISO,Implantação de pontes em estradas vicinais
79856,38769,01612438000193,MUNICIPIO DE SANTA MARIA,"Pavimentação em paralelepípedo da Rua Zumira - Bairro Vila Total Zevedo, Trecho da Avenida São Pedro - Bairro Vila Tota Azevedo, Travessa 01 (Maria Pequena) no Bairro Vila Tota Azevedo, Trecho da Rua Adolfo Varela no Centro, na Zona Urbana do Município de Santa Maria/RN"
75645,37238,18413187000110,MUNICIPIO DE SANTA RITA DO ITUETO,"Implantação De Pontes Em Estradas Vicinais  no Córrego da Aparecida, s/n.º  Zona Rural"
78228,42463,88073291000199,MUNICIPIO DE BAGE,"Meta 1 - Formação e Inclusão para o Futuro do Agro.
Meta 2 - Fortalecimento das Agroindústrias e Hortigranjeiros do município de Bagé/RS."
76328,43704,08898124000148,MUNICIPIO DE MAMANGUAPE,Implantação de Iluminação Pública Em Diversos Bairros do Município de Mamanguape/PB
76329,45647,08884066000101,MUNICIPIO DE VARZEA,Aquisição de Caminhão Pipa
81399,40905,18114272000188,MUNICIPIO DE DIVINO,"Equipamentos E Material Permanente Para Instituições De Longa Permanência Para Idosos, E Para Centros De Atendimento A Pessoas Idosas do Asilo São Vicente de Paulo CNES 0488909."
76496,41013,75801738000157,MUNICIPIO DE TAPIRA,"ÓRGÃO: 08. SECRETARIA MUNICIPAL DE SAUDE
UNIDADE ORÇAMENTÁRIA: 08.021 – DIVISÃO DE SAÚDE PUBLICA
PROGRAMA DE TRABALHO: 10.301.0054.2.014 – MANUTENÇÃO DA SAÚDE PUBLICA
ELEMENTO DESP.: 3.3.90.30.00.00 MATERIAL DE CONSUMO  
"
75456,40909,41522129000147,MUNICIPIO DE SIGEFREDO PACHECO,Realização Evento Municipal
81105,41006,12607392000130,FUNDO MUNICIPAL DE SAUDE DE ANAJATUBA,"AQUISIÇÃO DE MATERIAIS E INSUMOS, PARA ASSISTÊNCIA HOSPITALAR E AMBULATORIAL DE MÉDIA E ALTA COMPLEXIDADE - MAC (Hospital Municipal Padre Chiquinho CNES: 2646404) Descrição dos Materiais: Luvas descartáveis (estéreis e não estéreis); Máscaras cirúrgicas e N95; Campos cirúrgicos e aventais estéreis; Cateteres venosos e arteriais; Sondas (nasogástricas, vesicais, traqueais); Agulhas e seringas; Equipo de infusão; Curativos e gazes estéreis; Fitas adesivas e esparadrapos; Tubos de coleta de sangue e urina; Frascos para biópsia e culturas; Anestésicos locais e gerais; Antibióticos de amplo espectro; Anti-inflamatórios e analgésicos; Anticoagulantes e trombolíticos; Drogas vasoativas; Anticonvulsivantes; Insulinas e hipoglicemiantes; Soluções parenterais; Vacinas e imunoglobulinas; Sedativos e bloqueadores neuromusculares; Reagentes laboratoriais; Filmes e contrastes radiológicos; Swabs e kits de coleta; Tiras reagentes; Cartuchos para exames point-of-care; Álcool 70% e antissépticos; Sabonetes líquidos hospitalares; Desinfetantes hospitalares; Toalhas descartáveis; Sacos para descarte de resíduos; Toucas e propés; Face shields (descartáveis); Capotes impermeáveis (descartáveis); Respiradores e máscaras com filtro; Combustível para manter Ambulâncias a Pronto Uso; Material de expediente para manter as atividades do setor administrativo; Material gráfico; Fardamento para as equipes de saúde e etc."
76500,39898,78200110000194,MUNICIPIO DE DOURADINA,Custeio ao Piso da Atenção primaria
81683,40945,46444063000138,MUNICIPIO DE SOCORRO,Pavimentação Asfáltica de Estradas Vicinais no Município de Socorro/SP
76333,42911,13937057000163,"SECRETARIA DA AGRICULTURA, PECUARIA, IRRIGACAO, PESCA E AQUICULTURA- SEAGRI","Adquirir retroescavadeiras e caminhões basculantes com vistas a reforçar a infraestrutura e a capacidade operacional dos Territórios de Identidade do Estado da Bahia no apoio às ações de manutenção de estradas vicinais, escoamento da produção agrícola e fortalecimento das atividades da agricultura, fomentando o setor agropecuário."
75445,40911,06554281000100,MUNICIPIO DE AVELINO LOPES,Aquisição de Van.
85102,40937,31844889000117,MUNICIPIO DE PATY DO ALFERES,Pavimentação de 450 metros da Alameda Mato - Bairro Arcozelo
81944,42157,17935412000116,MUNICIPIO DE NATERCIA,Construção de Ponte.
83851,43059,18244350000169,MUNICIPIO DE NEPOMUCENO,Obras e Serviços de Engenharia - CONSTRUÇÃO DO AMBULATÓRIO MÉDICO ESPECIALIZADO
78426,41015,08943227000182,MUNICIPIO DE CONCEICAO,Realização de festejo junino entre os dias 25 a 27 de Junho no Município de Conceição/PB.
76339,45917,07849532000147,MUNICIPIO DE TAUA,SERVIÇO DE MANUTENÇÃO E PLANTIO DE PAISAGISMO SOB DEMANDA NO MUNICIPIO DE TAUA
76342,46168,07849532000147,MUNICIPIO DE TAUA,"CRIAÇÃO, AMPLIAÇÃO E RECUPERAÇAO DE AREAS VERDES URBANAS COMO PARQUES URBANOS, BOSQUES, CORREDORES ECOLOGICOS (JARDIM ZOOBOTAMICO)"
