id_plano_acao,cnpj_beneficiario_plano_acao,nome_beneficiario_plano_acao,uf_beneficiario_plano_acao,codigo_emenda_parlamentar_formatado_plano_acao,id_plano_trabalho,situacao_plano_trabalho,prazo_execucao_meses_plano_trabalho,classificacao_orcamentaria_pt,id_executor,cnpj_executor,nome_executor,objeto_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
77998,11034741000100,MUNICIPIO DE CALCADO,PE,202527240001-PASTOR EURICO,38437,Em Complementação,12,"02 PODER EXECUTIVO
02 07 SECRETARIA DE EDUCACAO, CULTURA E DESPORTO
02 07 72 DEPARTAMENTO DE CULTURA E DESPORTO
13 Cultura
13 392 Difusão Cultural
13 392 0042 PROMOÇÃO E DIFUSÃO DA CULTURA LOCAL
13 392 0042 2042 0000 MANUT DAS ATIVIDADES CULTURAIS
",41187,11034741000100,MUNICIPIO DE CALCADO,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,88337,1,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,UN,1,495000,0,0,0,0,0,0,0,12
76346,07539273000158,VÁRZEA ALEGRE,CE,202527010001-DOMINGOS NETO,38032,Enviado para Análise,36,1001 - 10.301.0038.1.020 - Equipamentos de Unidade de Saúde,40779,07539273000158,MUNICIPIO DE VARZEA ALEGRE,Aquisição de Veículos tipo Motocicleta,87578,1,Aquisição de Veículos tipo Motocicleta,UN,52,0,594000,0,0,0,0,0,0,36
79695,04272670000118,SÃO GABRIEL DA CACHOEIRA,AM,202541370005-PLÍNIO VALÉRIO,42509,Em Complementação,36,"UNIDADE: 02.06 SECRETARIA MUNICIPAL DE PRODUÇÃO E ABASTECIMENTO
PRO/ATIV:  2.022 MANUTENÇÃO DA SECRETÁRIA MUNICIPAL DE PRODUÇÃO E ABASTECIMENTO
ELEMENTO: 31 30.605.0011 
RUBRICA: 4.4. 90. 52. 00. 00.00. 00. 00.01. 0700.0000.00.00.00 EQUIPAMENTOS E MATERIAIS",45425,04272670000118,MUNICIPIO DE SAO GABRIEL DA CACHOEIRA,AQUISIÇÃO DE EQUIPAMENTOS PARA CASAS DE FARINHA PARA A COMUNIDADE INDÍGENA DOM BOSCO - PARI  CACHOEIRA,95790,1,"AQUISIÇÃO DE EQUIPAMENTOS PARA CASAS DE FARINHA: FORNO, MOTOR, CATITU ( RALADOR) E PRENSA,  PARA A COMUNIDADE INDÍGENA DOM BOSCO -PARI CACHOEIRA NA ZONA RURAL",UN,1,0,262350,0,0,0,0,0,0,36
83014,01126143000107,MUNICIPIO DE CAMPOS BELOS,GO,202539000012-ADRIANO DO BALDY,41168,APROVADO,36,"Ficha: 192
Órgão: 10 – Município de Campos Belos
Unidade: 05 – Secretaria de Infraestrutura, Transporte e Obras
Função: 26 - Transporte
Subfunção: 782 - Transporte
Programa: 023 – Serviços de Transportes
Projeto/Atividade: 1.061 – Construção de Pontes e Bueiros
Natureza da Despesa: 4.4.90.51 Obras e Instalações

",44023,01126143000107,MUNICIPIO DE CAMPOS BELOS,"CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²",93115,1,"CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²",M2,66,0,396000,0,0,0,0,0,0,36
84062,09159666000161,SANTA RITA,PB,202541410004-DANIELLA RIBEIRO,40107,APROVADO,36,"02.141 FUNDO MUNICIPAL DE SANEAMENTO BÁSICO E INFRAESTRUTURA URBANA
15 451 1012 1043 - PAVIMENTAÇÃO E DRENAGEM PLUVIAL
4490.5100 OBRAS E INSTALAÇÕES",42908,09159666000161,MUNICIPIO DE SANTA RITA,Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),91272,1,Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),M2,750,0,990000,0,0,0,0,0,0,36
75582,23066814000124,MUNICIPIO DE FERREIRA GOMES,AP,202537870003-DAVI ALCOLUMBRE,36793,Enviado para Análise,12,"12 - Educação
361 - Ensino Fundamental 
0011 - Qualidade do Ensino Fundamental
12.361.0011.1054- Construção, Reforma e Ampliação de Escolas de Ensino Fundamental.
44.90.51 – Obras e Instalações 
",42432,06075213000169,FUNDO MUNICIPAL DE EDUCACAO DO MUNICIPIO DE FERREIRA GOMES,Revitalização de Escola Municipal.,90386,1,Revitalização da Escola João Freire Cordeiro,UN,1,0,2025837,0,0,0,0,0,0,1
80090,88254909000117,MUNICIPIO DE IVOTI,RS,202541840002-LUIS CARLOS HEINZE,43125,Enviado para Análise,36,Órgão: 4 - Secretaria de Desenvolvimento; Unidade: 2 - Fundo Municipal da Agricultura; Função: 20 - Agricultura; Subfunção: 606 - Extensão Rural; Programa: 6-Valorização da Produção Rural; Ação: 2013 - Apoio ao Desenvolvimento Rural; Recurso: 0001 - Recurso livre.,46083,88254909000117,MUNICIPIO DE IVOTI,Aquisição de conjunto de máquinas e equipamentos agropecuários,97270,1,Aquisição de conjunto de máquinas e equipamentos agropecuários,UN,1,0,198000,0,0,0,0,0,0,36
84366,37420676000144,MUNICIPIO DE CENTENARIO,TO,202542750006-PROFESSORA DORINHA SEABRA,38045,APROVADO,36,451.15.539 - Pavimentação - Adequação de vias,40793,37420676000144,MUNICIPIO DE CENTENARIO,"Recapeamento Asfáltico da Avenida Norte Sul e Rua São Paulo na área urbana do Município de Centenário -TO,",87594,1,Pavimentação: Adequação De Vias urbana no Município de Centenário -TO,M2,8800,0,396000,0,0,0,0,0,0,36
84385,02087211000139,MUNICIPIO DE XAMBIOA,TO,202542750006-PROFESSORA DORINHA SEABRA,39763,APROVADO,24,"15.451.0711.1022 Pavimentação Asfáltica e Bloquetes de Ruas e Avenidas 
 4490510000000000 139 OBRAS E INSTALACOES",42545,02087211000139,MUNICIPIO DE XAMBIOA,Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO.,90631,1,Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO.,M,350,0,396000,0,0,0,0,0,0,24
83922,87612990000105,MUNICIPIO DE CERRO LARGO,RS,202540730001-SANDERSON,34429,APROVADO,18,449051 - Obras e Instalações,37249,87612990000105,MUNICIPIO DE CERRO LARGO,"Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m².",82717,1,"Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m²",M2,6600,0,396000,0,10000,0,0,0,0,18
76163,12261228000114,MUNICIPIO DE SAO JOSE DA TAPERA,AL,202537280001-MARX BELTRÃO,41269,Enviado para Análise,36,"Secretaria: 11 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
Unidade: 0019 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
15.451.0011.1013 CONSTRUÇÃO E AMPLIAÇÃO DA REDE DE ABASTECIMENTO DÁGUA DOMICILIAR
3.4.4.9.0.51.00.00.00.0000 1.500.0000 OBRAS E INSTALAÇÕES",44135,12261228000114,MUNICIPIO DE SAO JOSE DA TAPERA,EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL.,93299,1,EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL.,M,9450,0,2079000,0,0,0,0,0,0,36
84018,06214258000177,SÃO BENTO,MA,202541200003-MARRECA FILHO,40423,APROVADO,36,15.451.0013.1010.0000- Calçamento em Bloquete de Ruas e Avenidas,43268,06214258000177,MUNICIPIO DE SAO BENTO,Pavimentação em bloquete de vias urbanas no município de São Bento/MA.,91846,1,Pavimentação em bloquete de vias urbanas no município de São Bento/MA.,M2,5000,0,792000,0,0,0,0,0,0,36
83930,87897740000150,MUNICIPIO DE SANTIAGO,RS,202540730001-SANDERSON,41517,APROVADO,36,"Órgão 9 - Secretaria Municipal de Obras e Viação 
Unidade 1 - Obras e Viação
Função 26 - Transporte 
Subfunção 782 – Transporte Rodoviário
Programa 102 – Melhor Viver
Projeto Atividade 1440 – Reubanização de vias urbanas
449051 - Obra e Instalações",44395,87897740000150,MUNICIPIO DE SANTIAGO,Pavimentação de vias urbanas no Município de Santiago/RS.,93784,1,Pavimentação em paralelepípedos da Rua Arististes Camargo extensão 210m e Rua Perimetral extensão 70m.,M,280,0,396000,0,4000,0,0,0,0,36
84657,01612116000144,MUNICIPIO DE CUNHATAI,SC,202543250005-COBALCHINI,34654,APROVADO,12,4.4.90.00O OBRAS DE MELHORIA DA INFRAESTRUTURA RURAL,37436,01612116000144,MUNICIPIO DE CUNHATAI,PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA - Estrada Rural,82937,1,PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA -  Estrada Rural,KM,1,0,495000,0,1305000,0,0,0,0,12
