"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
46858,"2025-12-03","2025OP008125",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008124","2025NS030178","2025-12-04","2025-12-04",68164
47916,"2025-12-03","2025OP009183",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009182","2025NS031236","2025-12-04","2025-12-04",67858
46253,"2025-12-03","2025OP007520",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007519","2025NS029573","2025-12-04","2025-12-04",67993
47805,"2025-12-03","2025OP009072",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009071","2025NS031125","2025-12-04","2025-12-04",68862
46758,"2025-12-03","2025OP008025",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008024","2025NS030078","2025-12-04","2025-12-04",68660
48031,"2025-12-04","2025OP009298",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009309","2025NS031842","2025-12-05","2025-12-04",69186
48037,"2025-12-04","2025OP009304",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009291","2025NS031848","2025-12-05","2025-12-04",69352
48415,"2025-12-04","2025OP009681",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009680","2025NS032225","2025-12-05","2025-12-04",69360
48129,"2025-12-04","2025OP009396",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009400","2025NS031940","2025-12-05","2025-12-04",69378
48047,"2025-12-04","2025OP009314",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009312","2025NS031858","2025-12-05","2025-12-04",69474
48032,"2025-12-04","2025OP009299",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009311","2025NS031843","2025-12-05","2025-12-04",69519
46837,"2025-12-03","2025OP008104",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008102","2025NS030157","2025-12-04","2025-12-04",69846
48353,"2025-12-04","2025OP009619",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009606","2025NS032163","2025-12-05","2025-12-04",69657
47631,"2025-12-03","2025OP008898",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008897","2025NS030951","2025-12-04","2025-12-04",69685
46555,"2025-12-03","2025OP007822",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007821","2025NS029875","2025-12-04","2025-12-04",70091
48690,"2025-12-18","2025OP009967",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009977","2025NS033274","2025-12-18","2025-12-18",70303
48537,"2025-12-18","2025OP009814",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009813","2025NS033121","2025-12-18","2025-12-18",70283
48703,"2025-12-18","2025OP009980",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB010002","2025NS033287","2025-12-18","2025-12-18",70227
47627,"2025-12-03","2025OP008894",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008893","2025NS030947","2025-12-04","2025-12-04",68734
47737,"2025-12-03","2025OP009004",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008999","2025NS031057","2025-12-04","2025-12-04",68474
47341,"2025-12-03","2025OP008608",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008607","2025NS030661","2025-12-04","2025-12-04",68551
47029,"2025-12-03","2025OP008296",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008296","2025NS030349","2025-12-04","2025-12-04",67997
47295,"2025-12-03","2025OP008562",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008561","2025NS030615","2025-12-04","2025-12-04",68056
48562,"2025-12-18","2025OP009839",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009845","2025NS033146","2025-12-18","2025-12-18",70118
48621,"2025-12-18","2025OP009898",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009916","2025NS033205","2025-12-18","2025-12-18",70274
46608,"2025-12-03","2025OP007875",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007874","2025NS029928","2025-12-04","2025-12-04",68328
46528,"2025-12-03","2025OP007795",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007794","2025NS029848","2025-12-04","2025-12-04",68868
46188,"2025-12-03","2025OP007455",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007454","2025NS029508","2025-12-04","2025-12-04",68901
46276,"2025-12-03","2025OP007543",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007542","2025NS029596","2025-12-04","2025-12-04",69054
48251,"2025-12-04","2025OP009517",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009516","2025NS032061","2025-12-05","2025-12-04",69479
47300,"2025-12-03","2025OP008567",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008566","2025NS030620","2025-12-04","2025-12-04",69790
47908,"2025-12-03","2025OP009175",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009174","2025NS031228","2025-12-04","2025-12-04",70074
48769,"2025-12-18","2025OP010046",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB010045","2025NS033353","2025-12-18","2025-12-18",70476
48816,"2025-12-29","2025OP010093",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-29","2025-12-29","2025OB010099","2025NS033829","2025-12-29","2025-12-29",70520
48829,"2025-12-29","2025OP010106",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-29","2025-12-29","2025OB010112","2025NS033842","2025-12-29","2025-12-29",70539
