"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
148264,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41217
150964,"2025-09-09T11:45:23.491392",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41217
151595,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41217
146149,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39102
148849,"2025-09-09T09:47:35.57038",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39102
152399,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39102
161617,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43293
162271,"2025-09-29T18:44:31.044367",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43293
147864,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40817
150564,"2025-09-09T11:23:01.905376",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40817
154078,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40817
146564,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39517
149264,"2025-09-09T10:09:43.610962",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39517
152728,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39517
148545,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41498
151245,"2025-09-09T12:00:25.761403",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41498
151931,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41498
155281,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42736
156920,"2025-09-11T18:38:01.645851",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42736
158636,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42736
159404,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42736
154187,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",41642
155826,"2025-09-11T17:03:38.492621",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41642
