"id_analise_pendente","id_orgao_analise_pendente_pt","nome_orgao_analise_pendente_pt","id_plano_trabalho"
"34312-304",304,"Ministério da Saúde",34312
"34984-308793",308793,"Ministério da Agricultura e Pecuária",34984
"38250-308798",308798,"Ministério das Cidades",38250
"41688-304",304,"Ministério da Saúde",41688
"41829-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41829
"41829-308793",308793,"Ministério da Agricultura e Pecuária",41829
"41829-308795",308795,"Ministério da Pesca e Aquicultura",41829
"42280-304",304,"Ministério da Saúde",42280
"40231-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",40231
"35110-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",35110
"39721-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39721
"39721-1927",1927,"Ministério do Meio Ambiente",39721
"37440-304",304,"Ministério da Saúde",37440
"40767-72084",72084,"Ministério do Turismo",40767
"35862-308798",308798,"Ministério das Cidades",35862
"41885-304",304,"Ministério da Saúde",41885
"42181-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42181
"40565-72084",72084,"Ministério do Turismo",40565
"40611-304",304,"Ministério da Saúde",40611
"39095-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",39095
"36065-2207",2207,"Fundação Nacional de Saúde",36065
"36065-304",304,"Ministério da Saúde",36065
"39288-253",253,"Fundo Nacional de Desenvolvimento da Educação",39288
"40082-1927",1927,"Ministério do Meio Ambiente",40082
"43806-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",43806
"39249-1927",1927,"Ministério do Meio Ambiente",39249
"40693-304",304,"Ministério da Saúde",40693
"41081-2207",2207,"Fundação Nacional de Saúde",41081
"35989-308793",308793,"Ministério da Agricultura e Pecuária",35989
"35989-1927",1927,"Ministério do Meio Ambiente",35989
"35989-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35989
"34471-308798",308798,"Ministério das Cidades",34471
"38712-253",253,"Fundo Nacional de Desenvolvimento da Educação",38712
"37897-308817",308817,"Ministério de Portos e Aeroportos",37897
"37678-1927",1927,"Ministério do Meio Ambiente",37678
"37512-1927",1927,"Ministério do Meio Ambiente",37512
"36445-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36445
"42050-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42050
"42050-308798",308798,"Ministério das Cidades",42050
"35935-304",304,"Ministério da Saúde",35935
"35957-308793",308793,"Ministério da Agricultura e Pecuária",35957
"41214-72084",72084,"Ministério do Turismo",41214
"41975-308798",308798,"Ministério das Cidades",41975
"35587-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35587
"37815-304",304,"Ministério da Saúde",37815
"42072-308795",308795,"Ministério da Pesca e Aquicultura",42072
